"","Loc","Type","Sampletime","Spec","Flower","Det","Sex","Method","Stage","Number","Family","Order","lat","lng","date","Spec_group","occurrenceID"
"87","Ge1","tree",1,"Calliphora spec.","","Jari Vandendriessche","","15' Transect","Ad",1,"Calliphoridae","Diptera",51.01141,3.686242,2023-05-25,"flies","DIGITAF_FLANDERS:3e727a3ce37b3dbf"
"88","Ge1","tree",1,"Episyrphus balteatus","Symphytum","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",2,"Syrphidae","Diptera",51.01141,3.686242,2023-05-25,"syrphids","DIGITAF_FLANDERS:4663c37295d801a2"
"89","Ge1","tree",1,"Sarcophaga spec.","","Jari Vandendriessche","","15' Transect","Ad",1,"Sarcophagidae","Diptera",51.01141,3.686242,2023-05-25,"flies","DIGITAF_FLANDERS:cf2c3a4f5a292b40"
"90","Ge1","tree",1,"Vanessa atalanta","Viburnum","Jari Vandendriessche","","15' Transect","Ad",1,"Nymphalidae","Lepidoptera",51.01141,3.686242,2023-05-25,"butterflies","DIGITAF_FLANDERS:8b6637494b38a894"
"91","Ge1","tree",2,"Bombus pascuorum","Lythrum","Jari Vandendriessche","","15' Transect","Ad",1,"Apidae","Hymenoptera",51.01141,3.686242,2023-09-07,"bees","DIGITAF_FLANDERS:95b058472df784b8"
"92","Ge1","tree",2,"Pararge aegeria","","Jari Vandendriessche","","15' Transect","Ad",1,"Nymphalidae","Lepidoptera",51.01141,3.686242,2023-09-07,"butterflies","DIGITAF_FLANDERS:f71afb2e14954010"
"93","Ge1","tree",2,"Syrphus vitripennis","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",51.01141,3.686242,2023-09-07,"syrphids","DIGITAF_FLANDERS:732962c7ee3a713c"
"94","Ge1","tree",2,"Vespula germanica","","Jari Vandendriessche","","15' Transect","Ad",1,"Vespidae","Hymenoptera",51.01141,3.686242,2023-09-07,"wasps","DIGITAF_FLANDERS:8c96222b59d0dab2"
"95","Ie","crop",1,"Eupeodes corollae","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.898197,2.833149,2023-05-27,"syrphids","DIGITAF_FLANDERS:abd8835a9bedfb5e"
"96","Ie","crop",1,"Scathophaga stercoraria","","Jari Vandendriessche","","15' Transect","Ad",4,"Scathophagidae","Diptera",50.898197,2.833149,2023-05-27,"flies","DIGITAF_FLANDERS:0a3e0eaee8c0ce56"
"97","Ie","crtl",1,"Episyrphus balteatus","Anthriscus, Ranunculus, Lapsana","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",4,"Syrphidae","Diptera",50.898647,2.833769,2023-05-27,"syrphids","DIGITAF_FLANDERS:f6aed92bdd8dffeb"
"98","Ie","crtl",1,"Scathophaga stercoraria","Leucanthemum","Jari Vandendriessche","","15' Transect","Ad",1,"Scathophagidae","Diptera",50.898647,2.833769,2023-05-27,"flies","DIGITAF_FLANDERS:8cc192c4abc2894b"
"99","Ie","crtl",1,"Osmia bicornis","Ranunculus","Jari Vandendriessche","","15' Transect","Ad",1,"Megachilidae","Hymenoptera",50.898647,2.833769,2023-05-27,"bees","DIGITAF_FLANDERS:833fddf264c66d8d"
"100","Ie","crtl",2,"Aglais io","","Jari Vandendriessche","","15' Transect","Ad",1,"Nymphalidae","Lepidoptera",50.898647,2.833769,2023-09-07,"butterflies","DIGITAF_FLANDERS:ea68dfb9ccb689d1"
"101","Ie","crtl",2,"Arma custos","Leontidon","Jari Vandendriessche","","15' Transect","Ad",1,"Pentatomidae","Hemiptera",50.898647,2.833769,2023-09-07,"other","DIGITAF_FLANDERS:9f92ce91a08bb293"
"102","Ie","crtl",2,"Dolerus spec.","Leontidon","Augustijn De Ketelaere","M","15' Transect","Ad",1,"Tenthredinidae","Hymenoptera",50.898647,2.833769,2023-09-07,"wasps","DIGITAF_FLANDERS:12ae99ce9bfaaafb"
"103","Ie","crtl",2,"Eupeodes corollae","Leontidon","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.898647,2.833769,2023-09-07,"syrphids","DIGITAF_FLANDERS:a91fae6b2f48d140"
"104","Ie","crtl",2,"Episyrphus balteatus","Leontidon","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.898647,2.833769,2023-09-07,"syrphids","DIGITAF_FLANDERS:0cd4cafecc4f8e05"
"105","Ie","crtl",2,"Eristalis tenax","Achillea","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",2,"Syrphidae","Diptera",50.898647,2.833769,2023-09-07,"syrphids","DIGITAF_FLANDERS:e7a4bb2d0ecccc76"
"106","Ie","crtl",2,"Eristalis tenax","Leontidon","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.898647,2.833769,2023-09-07,"syrphids","DIGITAF_FLANDERS:8f37dd4c4054f87a"
"107","Ie","crtl",2,"Lygus spec.","Leontidon","Jari Vandendriessche","","15' Transect","Ad",1,"Miridae","Hemiptera",50.898647,2.833769,2023-09-07,"other","DIGITAF_FLANDERS:2359b3b48022c617"
"108","Ie","crtl",2,"Stictopleurus punctatonervosus","Leontidon","Jari Vandendriessche","","15' Transect","Ad",1,"Rhopalidae","Hemiptera",50.898647,2.833769,2023-09-07,"other","DIGITAF_FLANDERS:40439153b0ba5c0e"
"109","Ie","crtl",2,"Pieris rapae","Leontodon","Jari Vandendriessche","","15' Transect","Ad",2,"Pieridae","Lepidoptera",50.898647,2.833769,2023-09-07,"butterflies","DIGITAF_FLANDERS:8f55e6e3472ab699"
"110","Ie","crtl",2,"Sphaerophoria scripta","Leontidon","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",2,"Syrphidae","Diptera",50.898647,2.833769,2023-09-07,"syrphids","DIGITAF_FLANDERS:0a823e461c8b45e2"
"111","Ie","tree",1,"Episyrphus balteatus","","Jari Vandendriessche & Astrid Van den Bossche","","15' Transect","Ad",1,"Syrphidae","Diptera",50.897827,2.834499,2023-05-27,"syrphids","DIGITAF_FLANDERS:446ac0de02e6d63e"
"112","Ie","tree",1,"Bombus pascuorum","Lamium, Symphytum","Jari Vandendriessche","","15' Transect","Ad",2,"Apidae","Hymenoptera",50.897827,2.834499,2023-05-27,"bees","DIGITAF_FLANDERS:3b7ac0cd381041f5"
"113","Ie","tree",1,"Anthophila fabriciana","","Jari Vandendriessche","","15' Transect","Ad",1,"Choreutidae","Lepidoptera",50.897827,2.834499,2023-05-27,"butterflies","DIGITAF_FLANDERS:033bffb4a475b72c"
"114","Ie","tree",1,"Pieris brassicae","","Jari Vandendriessche","","15' Transect","Ad",1,"Pieridae","Lepidoptera",50.897827,2.834499,2023-05-27,"butterflies","DIGITAF_FLANDERS:9359e8a1a5082062"
